table_schema,table_name,primary_key_column,is_granularity_check,is_null_check,is_row_count,threshold_percentage,expectations,is_dynamic_silver,is_hourly
mdlive_pubz,fact_edi_270_by_consult_type,Unknown,1,0,1,5,,0,1
mdlive_pubz,fact_edi_271_response_error_rates,Unknown,1,0,1,5,,0,1
mdlive_pubz,fact_edi_271_response_error_rates_by_code,Unknown,1,0,1,5,,0,1
mdlive_pubz,fact_edi_271_response_error_rates_by_payer,Unknown,1,0,1,5,,0,1
mdlive_rptz,vw_edi_270_by_consult_type,Unknown,1,0,1,5,,0,1
mdlive_rptz,vw_edi_271_response_error_rates,Unknown,1,0,1,5,,0,1
mdlive_rptz,vw_edi_271_response_error_rates_by_code,Unknown,1,0,1,5,,0,1
mdlive_rptz,vw_edi_271_response_error_rates_by_payer,Unknown,1,0,1,5,,0,1
mdlive_pubz,dim_customer_affiliations,customer_affiliation_key,1,0,1,5,,0,1
mdlive_pubz,dim_pharmacies,pharmacy_key,1,0,1,5,,0,1
mdlive_rawz,abandoned_visits,id,1,0,1,5,,1,0
mdlive_rawz,activity_histories,id,1,0,1,5,,0,1
mdlive_rawz,activity_history_metadata,id,1,0,1,5,,1,1
mdlive_rawz,activity_logs,id,1,0,1,5,,0,1
mdlive_rawz,activity_source_trackings,id,1,0,1,5,,0,1
mdlive_rawz,activity_types,id,1,0,1,5,,0,0
mdlive_rawz,addendum_signatures,id,1,0,1,5,,1,1
mdlive_rawz,affiliation_aliases_imports,id,1,0,1,5,,1,0
mdlive_rawz,affiliation_details,id,1,0,1,5,,0,0
mdlive_rawz,affiliation_group_names,id,1,0,1,5,,0,0
mdlive_rawz,affiliation_groups,id,1,0,1,5,,0,0
mdlive_rawz,affiliation_plans,id,1,0,1,5,,0,0
mdlive_rawz,affiliation_soap_cpt_codes,id,1,0,1,5,,0,0
mdlive_rawz,affiliation_specific_questions,id,1,0,1,5,,0,1
mdlive_rawz,affiliation_user_groups,id,1,0,1,5,,0,0
mdlive_rawz,affiliations,id,1,0,1,5,,0,0
mdlive_rawz,agent_chat_shifts,id,1,0,1,5,,1,1
mdlive_rawz,ai_bh_quality_reviews,id,1,0,1,5,,1,0
mdlive_rawz,allowed_physicians,id,1,0,1,5,,1,1
mdlive_rawz,alternate_terms,id,1,0,1,5,,1,0
mdlive_rawz,appointment_accessibility_options,id,1,0,1,5,,1,0
mdlive_rawz,appointment_methods,id,1,0,1,5,,0,0
mdlive_rawz,appointment_request_availability_occurrences,id,1,0,1,5,,1,1
mdlive_rawz,appointment_requests,id,1,0,1,5,,0,1
mdlive_rawz,appointment_reviews,id,1,0,1,5,,0,1
mdlive_rawz,appointment_statuses,id,1,0,1,5,,0,0
mdlive_rawz,assessment_assignments,id,1,0,1,5,,1,1
mdlive_rawz,assessment_responses,id,1,0,1,5,,0,1
mdlive_rawz,async_appointment_release_reasons,id,1,0,1,5,,1,1
mdlive_rawz,async_appointment_scores,id,1,0,1,5,,1,1
mdlive_rawz,async_available_diagnoses,id,1,0,1,5,,1,1
mdlive_rawz,async_available_medications,id,1,0,1,5,,1,1
